,2395.TW,2588.HK,2618.TW,2802.T,300999.SZ,9202.T,A17U.SI,ACGBY,ACGL,ADM.L,AFL,AIR.PA,ALE.WA,ANET,AON,ARES,ATEYY,AU,AVB,AVY,BAMI.MI,EQT,HOLN.SW,INDIGO.NS,KMI,MB.MI,PST.MI,SAGA-B.ST,TEMN.SW
2023-01-05,0.00634254149416047,0.03463150199000409,-0.013980639056990096,-0.022660271722774628,0.02362758909174123,-0.027732938354484094,0.014474052355195388,-0.0036323762891172784,0.002519108677737858,-0.011544619353511587,-0.006027477195537756,-0.0015600035831596637,-0.013280012537801755,-0.03839296518054269,-0.008016465514485205,-0.028137255858082133,-0.0020936518183364283,-0.011885187355247573,-0.03876468170764191,-0.01983269980075597,0.004136872785304169,-0.03420799783923445,0.003838047380409826,0.0208671333219701,-0.0012855028553617753,-0.0017230898081478374,-0.013891836425861337,-0.025049034425868255,0.007642827892618831
2023-01-06,0.0013768308816894947,-0.012394552846838547,0.0120688343187636,-0.0111290461379836,0.012507702831393575,0.0037063189919273043,-0.01756522953489792,0.028229599938474292,0.02501842055928427,0.007570044341939308,0.042661183612423326,0.011631950434386473,-0.00532481363152304,0.03691351756996375,0.03308219173698257,0.034612475748995175,0.05282422860242564,0.026350381917719323,0.04572714833325642,0.03823373335674396,0.0,0.049273638784606,0.0022793630289805744,-0.0021660670775817126,0.030133044160163047,-0.0006473559670235884,0.00988225649004093,-0.006502042991650359,0.006419401237563349
2023-01-09,0.01349646148706074,-0.020893914134063385,-0.0025542572600575353,-0.00035373187124154715,0.0132364911235614,-0.0003537318712414361,0.008383231252889312,-0.029429624087161432,-0.03722076884891512,-0.002379515267700971,-0.0500988543789177,0.008237517205412548,0.0751244569618783,0.002801761783735479,-0.021518890284217607,0.01973259432636265,-0.008590313144369421,-0.025183019219051306,-0.02528393886458913,-0.012225297007369962,-0.00521838106033834,0.020836180143742444,0.02010868289557388,-0.011205948326106552,-0.011456241513913556,0.009930983711058161,-0.001873807479828793,0.030375712455601,0.011641243588589312
2023-01-10,0.0018037459556026203,-0.031643506947170774,0.0032513936912850205,-0.009142250914094596,0.0001161984494368884,-0.0032944415538853633,-0.01761276620473884,0.0020471185816379744,0.0038486841373337466,0.025700320478051708,0.005160157490074813,-0.020425537298604635,0.009002264485691525,0.000608139494240767,0.000738360060737131,0.006094236171145351,-0.006586181927836332,0.02648952272038474,0.0006746031729198965,-0.0012017728758317858,-0.005797872077981547,-0.02064340751870597,-0.010980275624383862,0.014173717640800776,-0.0009184881113333265,0.005557981452286809,0.011681249035620622,0.019801475571080918,-0.01974943156689435
2023-01-11,-0.0375399708054982,-0.00736094232432416,-0.004180450846077544,0.008289728586695633,-0.010821750862111568,-0.016009848012887185,0.001840070161908347,3.96678634675407e-05,-0.005713648082667833,-0.07182612464135718,-0.0034802042511228315,-0.010425685585081834,0.008521378103219401,0.007291612069491915,0.013545229815482118,0.02022101126554343,0.004425696762136777,0.0009501687072461795,0.03994490152950192,0.012807125935907049,-0.012774283806370024,-0.020992467277131333,-0.003171291907707152,0.02963786595658835,-0.000103446354340897,0.015306062504435225,-0.008659807977335898,0.04382297998908502,0.02355840228696726
2023-01-12,-0.02047637646426337,0.01511995539101929,-0.0026128670176248647,0.02121475965846864,-0.011145175590929202,0.014409519783404434,0.004140592702130519,-5.334741667573084e-05,0.0011715113856705095,0.02436679310625922,-0.0038469542994470363,0.02054424756603135,0.06305495371696224,0.004968996781721913,0.009439452768406076,0.03391678732040293,0.006097096123170553,0.026236056075846115,-3.0356400074205148e-05,-0.0003005300865981386,0.006188486489618006,0.044277053877249894,-0.004946721376125174,-0.0007614417277224117,0.003522662201236759,0.012981595182896655,0.009151423980306994,-0.0024317907117324955,-0.020887259978531914
2023-01-13,0.011668093169277416,0.015412714545965489,0.005563282691877225,0.025541894525191733,0.03991336183756289,0.02588103241855655,-0.003775577976935396,0.0017630779917945372,0.007013822337009756,0.005668255014814605,0.010683321292731085,0.005161786504358501,0.012958780764046107,-0.022415459451947894,0.00021581808472603825,0.005460761955301763,0.03272820005298471,0.019875134216698065,-0.018041299481538986,0.008297782320056069,0.029633834534861903,-0.008157392998503599,-0.0077450638351639345,0.0022929877396924425,-0.005992952991884182,-0.001240272281862298,0.0026792769419223816,-0.017876501292762526,0.00014593704602683388
2023-01-16,0.07439850919108304,-0.0012212483746848468,0.03175969363373521,0.021490012409681958,0.014684624751565956,-0.0014479282166706131,0.008920701700903644,0.0001849796522381819,0.0001849796522381819,-0.010062914620049157,0.0001849796522381819,-0.013009258127689272,0.009990665711134383,0.0001849796522381819,0.0001849796522381819,0.00018497965223840396,0.00018497965223840396,0.0001849796522381819,0.0001849796522381819,0.0001849796522381819,0.042085273992134686,0.0001849796522381819,0.018752244626581982,-0.010208475331099254,0.0001849796522381819,-0.002483396176951591,0.005549895334082899,0.028614500992688363,0.09196423426807732
2023-01-17,-0.057126496972338514,-0.01160833518369142,-0.03680676585612108,0.01121169768596908,-0.015691934894337067,-0.009922276263868546,-0.01105315329308465,0.0016376389779362288,0.0008944066556373365,-0.005577778260955291,-0.008470746366659898,0.008671564797101183,-0.0067958813471148405,0.008413067934516238,-0.003582195981924219,0.0048638097308209005,0.0370898643756874,-0.04974785492745781,0.009972765106828652,-0.012200279298640093,-0.006253366251867121,0.00802594631052278,0.00514260106631359,-0.012327745181275107,-0.004445913869109752,0.0018671840905457593,-0.006336916143163895,-0.021243536430824772,0.015739916391688036
2023-01-18,0.005559242034974599,-0.013534501888239348,0.005559242034974599,0.013333686949463353,-0.004236413998681243,0.011906635399021148,0.015408882416356517,0.0037373308191563925,-0.007133747292931258,0.0055610717912726315,-0.00736440297389751,0.01908521101636218,0.022471470327685816,-0.010813101284061877,-0.00862642223017862,-0.000912355149088051,0.004666108531788726,-0.001895246609703083,-0.007633464603685969,-0.02149836741573874,0.0034084813838186623,-0.04340951254814318,0.014382768201953056,0.006383773440114204,-0.024081944543541844,-0.011182454170204137,0.004525766207146509,-0.01970450257306211,0.010573080020380043
